Graph Name,num_vertices,num_edges,degree_max,degree_avg,assortativity_coeff,num_triangles,avg_num_triangles,max_triangles_per_edge,clustering_local_avg,clustering_global,max_k_core,low_max_clique,size
econ-beacxc,497.0,50000.0,680.0,201,-0.27,9000000.0,18000.0,78000.0,0.9,0.59,143,80,265000.0
econ-beaflw,507.0,53000.0,761.0,209,-0.26,10000000.0,19000.0,82000.0,0.88,0.59,145,81,266000.0
eccn-beause,507.0,44000.0,766.0,174,-0.32,7000000.0,13000.0,67000.0,0.9,0.53,119,66,182000.0
econ-mahindas,1000.0,8000.0,206.0,12,-0.06,11000.0,8.0,391.0,0.06,0.04,41,5,44000.0
econ.mDeacxc,492.0,50000.0,679.0,201,-0.27,9000000.0,18000.0,78000.0,0.91,0.59,142,80,261000.0
econ.mbeatlw,492.0,50000.0,679.0,201,-0.27,9000000.0,18000.0,78000.0,0.91,0.59,142,80,248000.0
econ-mbeause,492.0,41000.0,647.0,165,-0.32,6000000.0,12000.0,62000.0,0.94,0.53,113,65,165000.0
econ-orani678,3000.0,90000.0,2000.0,71,-0.25,9000000.0,3000.0,81000.0,0.37,0.32,193,77,565000.0
econ-pali-tarqe,16000.0,17000.0,492.0,2,-0.18,3000.0,,89.0,0.05,0.01,7,4,127000.0
econ-poli,4000.0,4000.0,66.0,2,-0.29,692.0,,8.0,0.05,0.02,6,4,33000.0
econ- psmigrl,3000.0,540000.0,5000.0,343,-0.15,171000000.0,55000.0,947000.0,0.67,0.37,371,140,2000000.0
econ-psmigr2,3000.0,540000.0,5000.0,343,-0.15,171000000.0,55000.0,947000.0,0.67,0.37,371,140,4000000.0
econ-psmigr3,3000.0,540000.0,5000.0,343,-0.15,171000000.0,55000.0,947000.0,0.67,0.37,371,140,4000000.0
econ-wml,277.0,3000.0,110.0,19,0.04,111000.0,400.0,3000.0,0.31,0.65,44,26,20000.0
econ-wm2,260.0,3000.0,110.0,21,0.1,115000.0,443.0,3000.0,0.31,0.66,45,28,21000.0
econ-wm3,260.0,3000.0,110.0,21,0.1,115000.0,442.0,3000.0,0.32,0.66,45,28,21000.0
