Graph Name,num_vertices,num_edges,degree_max,degree_avg,assortativity_coeff,num_triangles,avg_num_triangles,max_triangles_per_edge,clustering_local_avg,clustering_global,max_k_core,low_max_clique,size
f socfb-A-anon,3000000.0,24000000.0,5000.0,15,-0.06,167000000.0,53.0,50000.0,0.1,0.05,75,9,90000000.0
f socfb-American75,6000.0,218000.0,930.0,68,0.07,4000000.0,689.0,17000.0,0.24,0.16,57,9,610000.0
f socfb-Amherst41,2000.0,91000.0,467.0,81,0.06,3000000.0,1000.0,15000.0,0.31,0.23,64,10,235000.0
f socfb-Auburn71,18000.0,974000.0,5000.0,105,0.0,30000000.0,2000.0,199000.0,0.22,0.14,96,13,3000000.0
f socfb-B-anon,3000000.0,21000000.0,4000.0,14,-0.11,156000000.0,53.0,37000.0,0.09,0.05,64,12,80000000.0
f socfb-BC17,12000.0,487000.0,1000.0,84,0.08,11000000.0,916.0,28000.0,0.21,0.14,70,12,1000000.0
f socfb-BUIO,20000.0,638000.0,2000.0,64,0.05,9000000.0,468.0,22000.0,0.19,0.12,51,12,2000000.0
f socfb-Baylor93,13000.0,680000.0,2000.0,106,0.08,21000000.0,2000.0,41000.0,0.21,0.16,97,11,2000000.0
f socfb-BerkeIey13,23000.0,852000.0,3000.0,74,0.01,16000000.0,703.0,70000.0,0.21,0.11,65,15,3000000.0
f socfb-Bingham82,10000.0,363000.0,553.0,72,0.14,7000000.0,716.0,18000.0,0.22,0.16,58,10,1000000.0
f socfb-Bowdoin47,2000.0,84000.0,670.0,74,0.06,2000000.0,946.0,22000.0,0.29,0.22,59,9,219000.0
f socfb-Brandeis99,4000.0,138000.0,2000.0,70,-0.03,3000000.0,784.0,62000.0,0.26,0.16,57,9,371000.0
f socfb-Brown11,9000.0,385000.0,1000.0,89,0.07,9000000.0,1000.0,18000.0,0.22,0.14,71,10,1000000.0
f socfb-Buckne1139,4000.0,159000.0,506.0,83,0.09,4000000.0,1000.0,10000.0,0.28,0.2,60,9,425000.0
f socfb-CMU,7000.0,250000.0,840.0,75,0.12,7000000.0,1000.0,24000.0,0.28,0.19,70,15,695000.0
f socfb-Ca165,11000.0,351000.0,415.0,62,0.19,6000000.0,565.0,8000.0,0.23,0.16,64,19,1000000.0
f socfb-Caltech36,769.0,17000.0,248.0,43,-0.07,359000.0,466.0,4000.0,0.41,0.29,36,12,46000.0
f socfb-Carnegie49,7000.0,250000.0,840.0,75,0.12,7000000.0,1000.0,24000.0,0.28,0.19,70,15,696000.0
f socfb-Colgate88,3000.0,155000.0,773.0,89,0.07,4000000.0,1000.0,15000.0,0.27,0.21,66,12,409000.0
f socfb-Columbia2,12000.0,444000.0,3000.0,75,0.0,10000000.0,837.0,116000.0,0.23,0.13,67,10,1000000.0
f socfb-Corne115,19000.0,791000.0,3000.0,84,0.02,18000000.0,982.0,77000.0,0.22,0.14,85,13,2000000.0
f socfb-Dartmouth6,8000.0,304000.0,948.0,79,0.04,7000000.0,888.0,18000.0,0.24,0.15,67,11,851000.0
f socfb-Duke14,10000.0,506000.0,2000.0,102,0.07,15000000.0,2000.0,42000.0,0.25,0.17,86,9,1000000.0
f socfb-Emory27,7000.0,330000.0,1000.0,88,0.07,9000000.0,1000.0,26000.0,0.26,0.19,74,10,917000.0
f socfb-FSU53,28000.0,1000000.0,3000.0,74,0.1,24000000.0,849.0,28000.0,0.22,0.15,82,24,3000000.0
f socfb-GVVU54,12000.0,470000.0,2000.0,77,0.03,10000000.0,790.0,31000.0,0.22,0.14,63,9,1000000.0
f socfb-Georgetown15,9000.0,426000.0,1000.0,90,0.08,10000000.0,1000.0,29000.0,0.22,0.15,74,10,1000000.0
f socfb-Hamilton46,2000.0,96000.0,602.0,83,0.03,3000000.0,1000.0,19000.0,0.3,0.22,64,15,249000.0
f socfb-Harvard1,15000.0,825000.0,1000.0,109,0.15,25000000.0,2000.0,36000.0,0.21,0.14,104,9,2000000.0
f socfb-Haverford76,1000.0,60000.0,375.0,82,0.07,2000000.0,1000.0,13000.0,0.32,0.25,64,17,152000.0
f socfb-Howard90,4000.0,205000.0,1000.0,101,0.06,7000000.0,2000.0,52000.0,0.23,0.17,82,9,536000.0
f socfb-lndiana,30000.0,1000000.0,1000.0,87,0.13,28000000.0,947.0,37000.0,0.2,0.14,77,11,4000000.0
f socfb-lndiana69,30000.0,1000000.0,1000.0,87,0.13,28000000.0,947.0,37000.0,0.2,0.14,77,11,4000000.0
f socfb.JMU79,14000.0,486000.0,3000.0,69,0.0,8000000.0,581.0,64000.0,0.2,0.13,61,9,1000000.0
f socfb-JohnsHopkins55,5000.0,187000.0,886.0,72,0.08,5000000.0,954.0,16000.0,0.27,0.19,65,9,510000.0
