Graph Name	|V|   	|E|   	dmax   	davg   	r   	|T|   	Tavg   	Tmax   	κavg   	κ   	K   	ωheu   	Size	Download
829	1K	25	3	-0.16	57	-	5	0.01	0.01	4	3	5 KB	  Download
365K	890K	2K	4	-0.20	14K	-	747	0.00	0.00	12	6	2 MB	  Download
906	12K	462	26	-0.09	782K	863	14K	0.61	0.56	75	38	41 KB	  Download
265K	419K	8K	3	-0.20	2M	6	15K	0.09	0.01	57	13	1 MB	  Download
32K	54K	623	3	-0.38	147K	4	2K	0.11	0.03	23	11	168 KB	  Download
1K	5K	71	9	0.08	16K	14	261	0.22	0.17	12	12	15 KB	  Download
87K	1M	39K	26	-0.04	822M	9K	30M	1.07	0.26	2K	21	4 MB	  Download
34K	181K	1K	10	-0.12	2M	64	18K	0.51	0.09	44	17	496 KB	  Download
143	623	42	8	-0.02	3K	18	125	0.43	0.36	10	8	2 KB	  Download
10K	51K	616	10	-0.06	23K	2	3K	0.01	0.01	42	4	272 KB	  Download
1K	6K	112	10	-0.08	7K	5	242	0.07	0.04	12	5	19 KB	  Download
25K	194K	33K	15	-0.25	3M	127	316K	0.30	0.00	18K	27	972 KB	  Download
75	32K	4K	864	0.09	47M	626K	4M	3.65	0.75	1K	72	108 KB	  Download
75	32K	4K	864	0.09	47M	626K	4M	3.65	0.75	1K	72	92 KB	  Download
410	3K	50	13	0.23	21K	52	280	0.46	0.44	18	9	8 KB	  Download
113	2K	98	38	-0.12	51K	447	2K	0.53	0.50	29	15	6 KB	  Download
-	-	-	-	-	-	-	-	-	-	-	-	160 MB	  Download
-	-	-	-	-	-	-	-	-	-	-	-	136 MB	  Download
242	126K	3K	1K	0.35	123M	507K	2M	1.04	0.75	867	25	481 KB	  Download
242	126K	3K	1K	0.35	123M	507K	2M	1.04	0.75	867	25	397 KB	  Download
167	83K	9K	992	0.15	153M	917K	8M	4.51	0.68	3K	143	384 KB	  Download
7K	8K	261	2	-0.68	1K	-	52	0.02	0.00	6	5	16 KB	  Download
18	75	16	8	-0.21	418	23	55	0.74	0.62	8	6	1 KB	  Download
2M	5M	100K	4	-0.29	54M	22	360K	0.07	0.00	185	20	16 MB	  Download
92K	361K	1K	7	-0.03	3M	27	18K	0.06	0.05	59	10	1 MB	  Download
139K	740K	12K	10	-0.05	11M	82	197K	0.29	0.04	65	23	2 MB	  Download
2M	9M	1M	8	1.00	1B	501	114M	1.40	0.00	18K	17	53 MB	  Download
93K	549K	50K	11	0.95	65M	700	7M	0.55	0.02	2K	20	3 MB	  Download
92	10K	1K	213	0.50	2M	19K	161K	1.04	0.46	738	111	29 KB	  Download
