Graph Name,num_vertices,num_edges,degree_max,degree_avg,assortativity_coeff,num_triangles,avg_num_triangles,max_triangles_per_edge,clustering_local_avg,clustering_global,max_k_core,low_max_clique,size
soc-pages-artist,51000.0,819000.0,1000.0,32.0,-0.02,7000000.0,135.0,27000.0,0.14,0.05,70.0,9.0,4000000.0
soc-pages-company,14000.0,52000.0,215.0,7.0,0.01,168000.0,11.0,806.0,0.24,0.15,21.0,12.0,472000.0
soc-pages-food,620.0,2000.0,132.0,6.0,-0.03,9000.0,14.0,461.0,0.33,0.22,12.0,10.0,19000.0
soc-pages-government,7000.0,89000.0,697.0,25.0,0.03,2000000.0,222.0,13000.0,0.41,0.22,47.0,14.0,467000.0
soc-pages-media,28000.0,206000.0,678.0,14.0,0.02,1000000.0,41.0,2000.0,0.3,0.11,32.0,14.0,1000000.0
soc-pages-politician,6000.0,42000.0,323.0,14.0,0.02,524000.0,88.0,4000.0,0.39,0.3,32.0,18.0,264000.0
soc-pages-public-figure,12000.0,67000.0,326.0,11.0,0.2,555000.0,47.0,6000.0,0.18,0.17,43.0,13.0,477000.0
soc-pages-sport,14000.0,87000.0,468.0,12.0,-0.03,420000.0,30.0,3000.0,0.28,0.13,32.0,9.0,602000.0
soc-pages-tvshow,4000.0,17000.0,126.0,8.0,0.56,261000.0,67.0,3000.0,0.37,0.59,57.0,57.0,141000.0
soc-ANU-residence,,,,,,,,,,,,,8000.0
soc-BlogCatalog,89000.0,2000000.0,9000.0,47.0,-0.23,154000000.0,2000.0,804000.0,0.35,0.06,222.0,40.0,6000000.0
soc-FourSquare,639000.0,3000000.0,106000.0,10.0,-0.71,65000000.0,101.0,2000000.0,0.11,0.0,64.0,30.0,10000000.0
soc-LiveJourna11,5000000.0,69000000.0,23000.0,14.23,,,,,,,,,261000000.0
soc-LiveMocha,104000.0,2000000.0,3000.0,42.0,-0.15,10000000.0,96.0,37000.0,0.05,0.01,93.0,13.0,7000000.0
soc-Slashdot0811,77000.0,828000.0,5000.0,21.0,-0.07,6000000.0,74.0,57000.0,0.05,0.03,107.0,15.0,3000000.0
soc-Slashdot0902,82000.0,870000.0,5000.0,21.0,-0.07,6000000.0,73.0,58000.0,0.05,0.03,107.0,15.0,3000000.0
soc-academia,200000.0,1000000.0,11000.0,13.0,-0.02,8000000.0,42.0,120000.0,0.24,0.04,38.0,16.0,6000000.0
soc-advogato,5000.0,47000.0,947.0,18.0,-0.08,500000.0,96.0,11000.0,0.29,0.11,32.0,18.0,176000.0
soc-anybeat,13000.0,67000.0,9000.0,10.0,-0.12,947000.0,74.0,51000.0,0.23,0.02,50.0,25.0,220000.0
soc-brightkite,57000.0,213000.0,1000.0,7.0,0.01,1000000.0,26.0,12000.0,0.17,0.11,53.0,36.0,659000.0
soc-buzznet,101000.0,3000000.0,64000.0,54.0,2.85,93000000.0,916.0,1000000.0,0.23,0.01,154.0,26.0,8000000.0
