Graph Name	|V|   	|E|   	dmax   	davg   	r   	|T|   	Tavg   	Tmax   	κavg   	κ   	K   	ωheu   	Size	Download
51K	819K	1K	32	-0.02	7M	135	27K	0.14	0.05	70	9	4 MB	  Download
14K	52K	215	7	0.01	168K	11	806	0.24	0.15	21	12	472 KB	  Download
620	2K	132	6	-0.03	9K	14	461	0.33	0.22	12	10	19 KB	  Download
7K	89K	697	25	0.03	2M	222	13K	0.41	0.22	47	14	467 KB	  Download
28K	206K	678	14	0.02	1M	41	2K	0.30	0.11	32	14	1 MB	  Download
6K	42K	323	14	0.02	524K	88	4K	0.39	0.30	32	18	264 KB	  Download
12K	67K	326	11	0.20	555K	47	6K	0.18	0.17	43	13	477 KB	  Download
14K	87K	468	12	-0.03	420K	30	3K	0.28	0.13	32	9	602 KB	  Download
4K	17K	126	8	0.56	261K	67	3K	0.37	0.59	57	57	141 KB	  Download
-	-	-	-	-	-	-	-	-	-	-	-	8 KB	  Download
89K	2M	9K	47	-0.23	154M	2K	804K	0.35	0.06	222	40	6 MB	  Download
639K	3M	106K	10	-0.71	65M	101	2M	0.11	0.00	64	30	10 MB	  Download
5M	69M	23K	14.23	-	-	-	-	-	-	-	-	261 MB	  Download
104K	2M	3K	42	-0.15	10M	96	37K	0.05	0.01	93	13	7 MB	  Download
77K	828K	5K	21	-0.07	6M	74	57K	0.05	0.03	107	15	3 MB	  Download
82K	870K	5K	21	-0.07	6M	73	58K	0.05	0.03	107	15	3 MB	  Download
200K	1M	11K	13	-0.02	8M	42	120K	0.24	0.04	38	16	6 MB	  Download
5K	47K	947	18	-0.08	500K	96	11K	0.29	0.11	32	18	176 KB	  Download
13K	67K	9K	10	-0.12	947K	74	51K	0.23	0.02	50	25	220 KB	  Download
57K	213K	1K	7	0.01	1M	26	12K	0.17	0.11	53	36	659 KB	  Download
101K	3M	64K	54	2.85	93M	916	1M	0.23	0.01	154	26	8 MB	  Download
150K	5M	81K	72	5.47	556M	4K	4M	0.39	0.01	420	53	14 MB	  Download
536K	1M	3K	5	-0.07	1M	2	8K	0.03	0.01	34	21	4 MB	  Download
771K	6M	18K	15	-0.09	188M	244	397K	0.09	0.05	237	45	19 MB	  Download
427K	9M	47K	40	-0.13	250M	586	2M	0.17	0.01	249	37	24 MB	  Download
62	159	12	5	-0.04	285	4	17	0.26	0.31	5	5	2 KB	  Download
155K	327K	287	4	-0.18	122K	-	394	0.02	0.01	16	11	975 KB	  Download
27K	100K	443	7	0.06	479K	18	5K	0.14	0.09	33	16	310 KB	  Download
33	1K	28	9.19	-0.12	5K	13.77	88.50	0.41	0.30	8	6	1 KB	  Download
2M	16M	27K	18	-0.02	2B	959	2M	0.18	0.11	569	66	47 MB	  Download
514K	3M	4K	12	0.16	176M	343	525K	0.17	0.15	310	53	10 MB	  Download
3M	8M	1K	6	-0.32	24M	9	15K	0.08	0.01	69	31	26 MB	  Download
55K	498K	420	18	0.20	2M	36	2K	0.14	0.11	22	9	2 MB	  Download
48K	223K	112	9	0.21	294K	6	327	0.12	0.09	12	12	1 MB	  Download
42K	126K	112	6	0.11	95K	2	186	0.09	0.08	8	7	865 KB	  Download
211K	2M	2K	14	0.22	69M	325	191K	0.15	0.27	163	59	6 MB	  Download
197K	950K	15K	9	-0.03	7M	34	94K	0.24	0.02	52	29	3 MB	  Download
24K	392K	3K	3.32	-	64K	2.69	53K	0.22	0.00	13	11	95 KB	  Download
2K	17K	273	13	0.05	160K	65	3K	0.54	0.23	25	25	41 KB	  Download
-	-	-	-	-	-	-	-	-	-	-	-	2 KB	  Download
34	78	17	4	-0.48	135	3	18	0.57	0.26	5	5	2 KB	  Download
1M	5M	5K	7	-0.14	12M	9	38K	0.07	0.01	71	14	15 MB	  Download
-	-	-	-	-	-	-	-	-	-	-	-	185 MB	  Download
-	-	-	-	-	-	-	-	-	-	-	-	383 MB	  Download
4M	28M	3K	13	0.27	251M	62	80K	0.26	0.14	214	87	103 MB	  Download
-	-	-	-	-	-	-	-	-	-	-	-	174 MB	  Download
-	-	-	-	-	-	-	-	-	-	-	-	246 MB	  Download
58K	2M	1K	7.35	-	1M	25.49	12K	0.17	0.11	52	47	653 KB	  Download
-	-	-	-	-	-	-	-	-	-	-	-	34 MB	  Download
3M	117M	33K	76	0.02	2B	612	2M	0.17	0.04	254	47	422 MB	  Download
3M	106M	27K	70	0.02	2B	525	1M	0.17	0.04	231	41	388 MB	  Download
-	-	-	-	-	-	-	-	-	-	-	-	3 KB	  Download
2M	22M	15K	27	0.00	98M	59	29K	0.11	0.05	48	29	88 MB	  Download
77K	517K	3K	13	-0.06	3M	39	33K	0.06	0.04	85	15	2 MB	  Download
82K	546K	3K	13	-0.06	3M	38	33K	0.07	0.04	86	14	2 MB	  Download
82K	549K	3K	13	-0.06	3M	38	34K	0.07	0.04	86	14	2 MB	  Download
-	-	-	-	-	-	-	-	-	-	-	-	145 KB	  Download
-	-	-	-	-	-	-	-	-	-	-	-	389 KB	  Download
132K	841K	4K	12	-0.04	28M	211	108K	0.16	0.11	180	19	3 MB	  Download
21M	261M	-	-	-	64B	-	-	-	-	-	-	2 GB	  Download
79K	516K	3K	13	-0.06	3M	37	33K	0.07	0.04	85	26	2 MB	  Download
-	-	-	-	-	-	-	-	-	-	-	-	2 MB	  Download
70K	359K	3K	10	-0.07	1M	17	13K	0.06	0.03	54	23	1 MB	  Download
7M	1	1	-	-	-	-	-	-	-	2	2	2 KB	  Download
69K	2M	9K	47	-0.15	53M	767	346K	0.19	0.05	165	21	6 MB	  Download
