,time-to-peak,time-to-peak,time-to-peak,time-to-peak,peak,peak,peak,peak,size,size,size,size
,mean,std,min,max,mean,std,min,max,mean,std,min,max
graph_0.npz,20.666666666666668,15.173075568988056,0.0,36.0,0.1733333333333333,0.1161416759345623,0.01,0.27,0.5599999999999999,0.3894440481849308,0.01,0.86
graph_1.npz,42.0,13.589211407093003,30.0,61.0,0.2333333333333333,0.0555777733351102,0.18,0.31,0.7133333333333333,0.0094280904158206,0.7,0.72
graph_2.npz,19.666666666666668,9.533566430716728,7.0,30.0,0.2566666666666666,0.1604853748961429,0.03,0.38,0.6033333333333334,0.3913509365717112,0.05,0.89
graph_3.npz,29.33333333333333,8.993825042154695,22.0,42.0,0.2266666666666666,0.0946337971105226,0.15,0.36,0.7766666666666667,0.1545603082582617,0.56,0.91
graph_4.npz,29.0,5.0990195135927845,22.0,34.0,0.3233333333333333,0.0329983164553722,0.28,0.36,0.87,0.0141421356237309,0.85,0.88
graph_5.npz,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.01
graph_6.npz,17.333333333333332,12.498888839501785,0.0,29.0,0.2333333333333333,0.1693779468788333,0.01,0.42,0.5733333333333334,0.3985250584621025,0.01,0.87
graph_7.npz,18.33333333333333,12.970050972229146,0.0,28.0,0.1733333333333333,0.1239175353029407,0.01,0.31,0.5166666666666666,0.3605859429071275,0.01,0.82
graph_8.npz,23.666666666666668,2.0548046676563256,21.0,26.0,0.3666666666666667,0.0188561808316412,0.34,0.38,0.8566666666666668,0.0402768199119818,0.8,0.89
graph_9.npz,8.666666666666666,12.256517540566824,0.0,26.0,0.0966666666666666,0.1225651754056682,0.01,0.27,0.2833333333333333,0.3865517070486459,0.01,0.83
graph_10.npz,35.0,25.78113005022601,12.0,71.0,0.36,0.0668331255192114,0.29,0.45,0.8533333333333334,0.0410960933531265,0.8,0.9
graph_11.npz,5.333333333333333,7.542472332656507,0.0,16.0,0.15,0.1979898987322333,0.01,0.43,0.3033333333333333,0.4148359782961079,0.01,0.89
graph_12.npz,28.0,7.788880963698615,19.0,38.0,0.31,0.0454606056566195,0.26,0.37,0.7933333333333333,0.0169967317119759,0.77,0.81
graph_13.npz,15.0,10.614455552060438,0.0,23.0,0.1966666666666666,0.1342468704373484,0.01,0.32,0.5599999999999999,0.3894440481849308,0.01,0.86
graph_14.npz,17.0,13.880441875771345,0.0,34.0,0.18,0.1235583532856709,0.01,0.3,0.4966666666666666,0.3488393453853635,0.01,0.81
graph_15.npz,25.0,34.650637319776195,0.0,74.0,0.0766666666666666,0.0873053390247253,0.01,0.2,0.2366666666666667,0.306521704868604,0.01,0.67
graph_16.npz,31.666666666666668,9.46337971105226,21.0,44.0,0.3166666666666666,0.0309120616516523,0.29,0.36,0.7066666666666667,0.0410960933531265,0.66,0.76
graph_17.npz,14.0,9.899494936611664,0.0,21.0,0.17,0.113431330181157,0.01,0.26,0.3799999999999999,0.2631856125753584,0.01,0.6
graph_18.npz,10.0,4.96655480858378,3.0,14.0,0.23,0.1496662954709576,0.03,0.39,0.4533333333333333,0.2923848301278452,0.04,0.67
graph_19.npz,12.0,8.640987597877148,0.0,20.0,0.1766666666666666,0.118133634311129,0.01,0.27,0.5166666666666667,0.3583604640891936,0.01,0.78
graph_20.npz,17.0,24.04163056034261,0.0,51.0,0.0666666666666666,0.0801387685344753,0.01,0.18,0.2366666666666666,0.3205550741379015,0.01,0.69
graph_21.npz,10.333333333333334,14.613540144521982,0.0,31.0,0.1166666666666666,0.1508494466531301,0.01,0.33,0.29,0.3959797974644666,0.01,0.85
graph_22.npz,29.33333333333333,20.885933597094056,0.0,47.0,0.2,0.1349073756323204,0.01,0.31,0.5433333333333333,0.3779182745280019,0.01,0.84
graph_23.npz,10.0,14.142135623730953,0.0,30.0,0.0733333333333333,0.089566858950296,0.01,0.2,0.2333333333333333,0.3158410289299912,0.01,0.68
graph_24.npz,7.0,9.899494936611664,0.0,21.0,0.13,0.1697056274847714,0.01,0.37,0.2866666666666667,0.3912657522565562,0.01,0.84
graph_25.npz,18.33333333333333,11.469767022723502,5.0,33.0,0.2366666666666666,0.1575506973079529,0.02,0.39,0.6033333333333334,0.3920317447463775,0.05,0.91
graph_26.npz,11.333333333333334,10.338708279513884,0.0,25.0,0.1033333333333333,0.1249888883950178,0.01,0.28,0.2633333333333333,0.3442221504913489,0.01,0.75
graph_27.npz,14.0,7.25718035235908,4.0,21.0,0.2466666666666666,0.1611072796479276,0.02,0.38,0.57,0.3819249489974001,0.03,0.85
graph_28.npz,11.0,15.556349186104043,0.0,33.0,0.0933333333333333,0.1178511301977579,0.01,0.26,0.25,0.3394112549695428,0.01,0.73
graph_29.npz,17.0,12.027745701779144,0.0,26.0,0.1966666666666666,0.1381625451737513,0.01,0.34,0.5499999999999999,0.3849675310984031,0.01,0.88
graph_30.npz,14.333333333333334,10.33870827951388,0.0,24.0,0.3133333333333333,0.2154581681492308,0.01,0.49,0.6,0.4172129751897305,0.01,0.9
graph_31.npz,17.666666666666668,11.671427600007732,2.0,30.0,0.1833333333333333,0.1158543146465517,0.03,0.31,0.5399999999999999,0.3634097778908358,0.03,0.85
graph_32.npz,15.666666666666666,12.283683848458852,0.0,30.0,0.2466666666666666,0.1782008853949821,0.01,0.44,0.5433333333333333,0.3793268892247013,0.01,0.86
graph_33.npz,18.666666666666668,9.104333522498443,6.0,27.0,0.1266666666666666,0.0771722460186015,0.02,0.2,0.34,0.2333809475228572,0.02,0.57
graph_34.npz,13.333333333333334,9.46337971105226,0.0,21.0,0.1966666666666666,0.1342468704373484,0.01,0.32,0.45,0.3111269837220809,0.01,0.67
graph_35.npz,15.666666666666666,11.953614051360738,0.0,29.0,0.1866666666666666,0.1265789169736501,0.01,0.3,0.4266666666666667,0.296010510323911,0.01,0.67
graph_36.npz,26.0,19.510680835549195,0.0,47.0,0.1266666666666666,0.0849836585598797,0.01,0.21,0.4366666666666667,0.3198263417682929,0.01,0.78
graph_37.npz,0.3333333333333333,0.4714045207910317,0.0,1.0,0.0133333333333333,0.0047140452079103,0.01,0.02,0.0133333333333333,0.0047140452079103,0.01,0.02
graph_38.npz,22.0,16.87206764645835,0.0,41.0,0.1466666666666667,0.1102522360569415,0.01,0.28,0.5399999999999999,0.3749666651850535,0.01,0.82
graph_39.npz,30.0,21.118712081942878,2.0,53.0,0.1266666666666666,0.071336448530109,0.03,0.2,0.5133333333333333,0.3347967874530592,0.04,0.76
graph_40.npz,22.0,3.559026084010437,19.0,27.0,0.3666666666666667,0.0329983164553722,0.33,0.41,0.92,0.0294392028877594,0.88,0.95
graph_41.npz,15.0,10.801234497346432,0.0,25.0,0.25,0.1728197519575429,0.01,0.41,0.5866666666666667,0.4010264607506869,0.02,0.89
graph_42.npz,34.666666666666664,11.61416759345623,25.0,51.0,0.2866666666666667,0.0758653778449402,0.18,0.35,0.82,0.0778888096369861,0.71,0.88
graph_43.npz,29.666666666666668,8.178562764256865,20.0,40.0,0.3166666666666667,0.0573488351136175,0.25,0.39,0.8966666666666666,0.046427960923947,0.85,0.96
graph_44.npz,22.0,15.748015748023622,0.0,36.0,0.21,0.1414213562373095,0.01,0.31,0.5833333333333334,0.4067213078045238,0.01,0.91
graph_45.npz,11.333333333333334,16.027753706895076,0.0,34.0,0.1066666666666666,0.1367073110293991,0.01,0.3,0.2933333333333333,0.4006938426723769,0.01,0.86
graph_46.npz,12.0,16.97056274847714,0.0,36.0,0.1133333333333333,0.1461354014452198,0.01,0.32,0.2733333333333334,0.372409571424915,0.01,0.8
graph_47.npz,25.666666666666668,13.888444437333106,9.0,43.0,0.1633333333333333,0.0543650214343336,0.09,0.22,0.5466666666666667,0.271579740694249,0.17,0.8
graph_48.npz,14.666666666666666,10.402991022884825,0.0,23.0,0.26,0.1805547008526778,0.01,0.43,0.56,0.391492869241148,0.01,0.89
graph_49.npz,18.33333333333333,12.970050972229146,0.0,28.0,0.2033333333333333,0.138884444373331,0.01,0.33,0.5366666666666666,0.3795904225463136,0.01,0.89
graph_50.npz,30.33333333333333,12.229290885229428,18.0,47.0,0.3233333333333333,0.046427960923947,0.26,0.37,0.8633333333333333,0.0047140452079103,0.86,0.87
graph_51.npz,18.0,7.788880963698615,12.0,29.0,0.1933333333333333,0.1236482466066093,0.02,0.3,0.5266666666666667,0.3586394041683404,0.02,0.8
graph_52.npz,8.0,11.31370849898476,0.0,24.0,0.06,0.0707106781186547,0.01,0.16,0.2033333333333333,0.2734146220587983,0.01,0.59
graph_53.npz,11.666666666666666,8.259674462242577,0.0,18.0,0.2233333333333333,0.1508494466531301,0.01,0.33,0.52,0.3608323710533743,0.01,0.79
graph_54.npz,9.333333333333334,6.649979114420002,0.0,15.0,0.1866666666666666,0.1281492185782739,0.01,0.31,0.55,0.3832318706301273,0.01,0.86
graph_55.npz,9.333333333333334,6.182412330330469,4.0,18.0,0.1033333333333333,0.0967241208569793,0.03,0.24,0.2333333333333333,0.2805153986662566,0.03,0.63
graph_56.npz,16.0,11.575836902790224,0.0,27.0,0.1366666666666667,0.089566858950296,0.01,0.2,0.4366666666666667,0.3026916289265731,0.01,0.68
graph_57.npz,18.0,13.638181696985855,0.0,33.0,0.1866666666666666,0.1265789169736501,0.01,0.3,0.54,0.3797367509209505,0.01,0.88
graph_58.npz,0.3333333333333333,0.4714045207910317,0.0,1.0,0.0133333333333333,0.0047140452079103,0.01,0.02,0.0133333333333333,0.0047140452079103,0.01,0.02
graph_59.npz,32.333333333333336,22.60285134421958,3.0,58.0,0.1666666666666666,0.1065624490876385,0.02,0.27,0.56,0.3840138886377245,0.02,0.88
graph_60.npz,17.0,12.027745701779144,0.0,26.0,0.2033333333333333,0.1515109090315134,0.01,0.38,0.5633333333333334,0.392626483512709,0.01,0.88
graph_61.npz,10.666666666666666,13.695092389449425,0.0,30.0,0.1133333333333333,0.1322455628325158,0.01,0.3,0.2966666666666667,0.3913509365717112,0.01,0.85
graph_62.npz,9.666666666666666,13.67073110293992,0.0,29.0,0.1333333333333333,0.1744196726926817,0.01,0.38,0.2933333333333333,0.3936439451529205,0.01,0.85
graph_63.npz,21.0,15.937377450509228,2.0,41.0,0.2233333333333333,0.1465908895153068,0.02,0.36,0.5233333333333333,0.355933826558939,0.02,0.78
graph_64.npz,11.666666666666666,16.49915822768611,0.0,35.0,0.1433333333333333,0.1885618083164126,0.01,0.41,0.31,0.4242640687119285,0.01,0.91
graph_65.npz,10.0,12.027745701779144,1.0,27.0,0.0866666666666666,0.0942809041582063,0.02,0.22,0.2566666666666666,0.3276515764582181,0.02,0.72
graph_66.npz,24.666666666666668,19.48218559493661,8.0,52.0,0.1933333333333333,0.1236482466066093,0.02,0.3,0.52,0.3484250278036869,0.03,0.81
graph_67.npz,32.333333333333336,12.657891697365017,21.0,50.0,0.3366666666666666,0.0368178700572908,0.29,0.38,0.7933333333333333,0.0377123616632825,0.74,0.82
graph_68.npz,10.0,14.142135623730953,0.0,30.0,0.1566666666666666,0.2074179891480539,0.01,0.45,0.2966666666666667,0.4054078878802872,0.01,0.87
graph_69.npz,23.0,3.741657386773941,18.0,27.0,0.3533333333333333,0.0188561808316412,0.34,0.38,0.8266666666666667,0.0047140452079103,0.82,0.83
graph_70.npz,17.666666666666668,16.659998666133067,0.0,40.0,0.2466666666666666,0.1673983937265295,0.01,0.37,0.56,0.3937003937005905,0.01,0.91
graph_71.npz,21.33333333333333,6.128258770283411,14.0,29.0,0.2766666666666666,0.0262466929133727,0.24,0.3,0.75,0.0216024689946928,0.73,0.78
graph_72.npz,5.666666666666667,6.018490028422596,0.0,14.0,0.1066666666666666,0.1297005097222914,0.01,0.29,0.2733333333333334,0.3653613127971938,0.01,0.79
graph_73.npz,1.6666666666666667,2.357022603955158,0.0,5.0,0.0166666666666666,0.0094280904158206,0.01,0.03,0.0166666666666666,0.0094280904158206,0.01,0.03
graph_74.npz,15.666666666666666,12.283683848458852,0.0,30.0,0.1566666666666666,0.1040299102288482,0.01,0.24,0.4466666666666666,0.3109483701338357,0.01,0.71
graph_75.npz,4.666666666666667,5.9066817155564495,0.0,13.0,0.0233333333333333,0.0124721912892464,0.01,0.04,0.0233333333333333,0.0124721912892464,0.01,0.04
graph_76.npz,8.666666666666666,8.9566858950296,0.0,21.0,0.12,0.1485485330343812,0.01,0.33,0.2666666666666666,0.355933826558939,0.01,0.77
graph_77.npz,36.66666666666666,10.208928554075705,28.0,51.0,0.2066666666666666,0.0169967317119759,0.19,0.23,0.7166666666666667,0.0980929264637477,0.6,0.84
graph_78.npz,21.666666666666668,16.21384867602041,0.0,39.0,0.2033333333333333,0.1369509238944942,0.01,0.31,0.5766666666666667,0.4020226638166338,0.01,0.9
graph_79.npz,16.333333333333332,10.143416036468626,2.0,24.0,0.2366666666666666,0.1545603082582617,0.02,0.37,0.57,0.3889301565405628,0.02,0.85
graph_80.npz,25.0,5.354126134736337,19.0,32.0,0.36,0.0355902608401043,0.31,0.39,0.8666666666666667,0.0094280904158206,0.86,0.88
graph_81.npz,22.0,18.384776310850235,0.0,45.0,0.17,0.1177568115510379,0.01,0.29,0.5333333333333333,0.3706151043273271,0.01,0.82
graph_82.npz,8.666666666666666,12.256517540566824,0.0,26.0,0.12,0.1555634918610404,0.01,0.34,0.3066666666666667,0.4195500235040182,0.01,0.9
graph_83.npz,12.0,16.97056274847714,0.0,36.0,0.1466666666666666,0.1932758535243229,0.01,0.42,0.2966666666666667,0.4054078878802872,0.01,0.87
graph_84.npz,16.0,10.614455552060438,1.0,24.0,0.2133333333333333,0.138884444373331,0.02,0.34,0.5833333333333334,0.3985250584621025,0.02,0.88
graph_85.npz,2.6666666666666665,3.771236166328253,0.0,8.0,0.0166666666666666,0.0094280904158206,0.01,0.03,0.0266666666666666,0.0235702260395515,0.01,0.06
graph_86.npz,13.333333333333334,9.977753031397176,0.0,24.0,0.2633333333333333,0.179133717900592,0.01,0.39,0.5766666666666667,0.3936439451529205,0.02,0.86
graph_87.npz,12.333333333333334,17.441967269268172,0.0,37.0,0.0933333333333333,0.1178511301977579,0.01,0.26,0.25,0.3394112549695428,0.01,0.73
graph_88.npz,24.33333333333333,18.553226733434325,0.0,45.0,0.2166666666666666,0.1481740718059524,0.01,0.35,0.5466666666666667,0.3800292386412158,0.01,0.84
graph_89.npz,8.666666666666666,10.873004286866728,0.0,24.0,0.1233333333333333,0.153260852434302,0.01,0.34,0.2633333333333333,0.3512200956032492,0.01,0.76
graph_90.npz,13.666666666666666,7.717224601860151,3.0,21.0,0.2299999999999999,0.1423610433604174,0.03,0.35,0.6,0.3889301565405628,0.05,0.88
graph_91.npz,16.666666666666668,12.036980056845191,0.0,28.0,0.17,0.1157583690279022,0.01,0.28,0.5166666666666667,0.3531131389355101,0.02,0.81
graph_92.npz,27.666666666666668,6.548960901462833,20.0,36.0,0.23,0.0509901951359278,0.16,0.28,0.6766666666666667,0.0849836585598797,0.56,0.76
graph_93.npz,21.0,3.265986323710904,17.0,25.0,0.2966666666666667,0.046427960923947,0.25,0.36,0.8366666666666668,0.0377123616632825,0.81,0.89
graph_94.npz,16.0,9.41629792788369,4.0,27.0,0.0999999999999999,0.0993310961716756,0.02,0.24,0.2566666666666666,0.3000370347510824,0.02,0.68
