graph,assortativity,clustering,density,target
graph_0.npz,0.005979011889614311,0.020976190476190478,0.0496969696969697,0.05
graph_1.npz,0.027580025554231256,0.08267660117660118,0.08949494949494949,0.1
graph_2.npz,-0.014274476722381838,0.15045336567307896,0.15434343434343434,0.15000000000000002
graph_3.npz,-0.023405514408778624,0.20551933932840516,0.2103030303030303,0.2
graph_4.npz,-0.04564284121252347,0.2551635869900538,0.25616161616161615,0.25
graph_5.npz,-0.00323040005423085,0.30949744495724973,0.30646464646464644,0.3
graph_6.npz,-0.0006452892320124129,0.35829184884671894,0.3567676767676768,0.35000000000000003
graph_7.npz,-0.015343058852694564,0.38745817207970634,0.3894949494949495,0.4
graph_8.npz,-0.04431586547315618,0.4496093931074689,0.4476767676767677,0.45
graph_9.npz,-0.022250673852477008,0.4949381677417371,0.49292929292929294,0.5
graph_10.npz,-0.01803395790817901,0.5428081546443368,0.5424242424242425,0.55
graph_11.npz,-0.0412228533324365,0.5977381745101894,0.5981818181818181,0.6000000000000001
graph_12.npz,-0.012066746065741233,0.6418561063917525,0.6414141414141414,0.6500000000000001
graph_13.npz,-0.021454869967587758,0.6985143541299221,0.6993939393939393,0.7000000000000001
graph_14.npz,-0.013147615485059877,0.7460763601912513,0.7460606060606061,0.7500000000000001
graph_15.npz,-0.018290395007473162,0.7991729413367067,0.7993939393939394,0.8
graph_16.npz,-0.014973176430521954,0.8523162925367371,0.8523232323232324,0.8500000000000001
graph_17.npz,-0.015173438513129045,0.9058505471560672,0.9054545454545454,0.9000000000000001
graph_18.npz,0.006310387264015678,0.023285714285714285,0.044444444444444446,0.05
graph_19.npz,0.029154573035852626,0.0899015984015984,0.0995959595959596,0.1
graph_20.npz,0.008516694254641834,0.13915177725461747,0.14303030303030304,0.15000000000000002
graph_21.npz,-0.06535328170412291,0.20692346900493355,0.21353535353535352,0.2
graph_22.npz,-0.01888895223498076,0.24294034584999274,0.23757575757575758,0.25
graph_23.npz,0.010115622533308017,0.3015037438374707,0.3058585858585859,0.3
graph_24.npz,-0.0006155409012723608,0.34171039597045144,0.3428282828282828,0.35000000000000003
graph_25.npz,-0.03828957642761799,0.400681571187606,0.397979797979798,0.4
graph_26.npz,-0.030273653748763604,0.44597987663317507,0.44686868686868686,0.45
graph_27.npz,0.004278040153024824,0.4994389867731297,0.5006060606060606,0.5
graph_28.npz,-0.050273447857948794,0.5620604047207471,0.5632323232323232,0.55
graph_29.npz,-0.0505551835634161,0.5987383749677739,0.5997979797979798,0.6000000000000001
graph_30.npz,-0.03207068890982658,0.6420367767538251,0.6430303030303031,0.6500000000000001
graph_31.npz,-0.007844029839180668,0.6997972891745632,0.701010101010101,0.7000000000000001
graph_32.npz,-0.03452010226549936,0.7521541353805706,0.7523232323232323,0.7500000000000001
graph_33.npz,-0.030446140878154494,0.7960752793024612,0.796969696969697,0.8
graph_34.npz,-0.013374389821461176,0.8442483974511157,0.8448484848484848,0.8500000000000001
graph_35.npz,-0.02388920567416711,0.8961779556828767,0.8963636363636364,0.9000000000000001
graph_36.npz,0.0483377628062807,0.06342712842712843,0.052525252525252523,0.05
graph_37.npz,-0.05060579167975073,0.09192118992118992,0.09919191919191919,0.1
graph_38.npz,-0.02638078934794819,0.1526893904856753,0.14424242424242426,0.15000000000000002
graph_39.npz,0.026690592847886916,0.18877802618802753,0.19555555555555557,0.2
graph_40.npz,0.010112712443652272,0.2452023594471871,0.24161616161616162,0.25
graph_41.npz,-0.018655046790096826,0.2904960792117181,0.29454545454545455,0.3
graph_42.npz,-0.029392082317107132,0.3467594494316097,0.3464646464646465,0.35000000000000003
graph_43.npz,-0.050230370387359204,0.40089311421821777,0.3977777777777778,0.4
graph_44.npz,-0.005659394705053934,0.46293703416379983,0.4587878787878788,0.45
graph_45.npz,0.011453113876419717,0.5114113239472072,0.5107070707070707,0.5
graph_46.npz,-0.04345315725647204,0.5411601692021564,0.5454545454545454,0.55
graph_47.npz,-0.02653994853010966,0.5983214970038522,0.5983838383838384,0.6000000000000001
graph_48.npz,-0.02465117245525665,0.6545339474225546,0.654949494949495,0.6500000000000001
graph_49.npz,-0.013994729197234311,0.693982571355182,0.6935353535353536,0.7000000000000001
graph_50.npz,-0.0247312073699855,0.7538381969042477,0.7549494949494949,0.7500000000000001
graph_51.npz,-0.01700738951872852,0.790737083910581,0.7913131313131313,0.8
graph_52.npz,-0.024213598133390905,0.8505955415994757,0.8501010101010101,0.8500000000000001
graph_53.npz,-0.020998022137878655,0.8889708328048341,0.889090909090909,0.9000000000000001
graph_54.npz,0.01853215312205019,0.04321933621933621,0.05131313131313131,0.05
graph_55.npz,-0.01915559673466998,0.10110162876339347,0.1,0.1
graph_56.npz,0.005862164381943358,0.14550077619393811,0.14747474747474748,0.15000000000000002
graph_57.npz,-0.018271802210019214,0.19541476613523553,0.20222222222222222,0.2
graph_58.npz,-0.0620396655296763,0.24536340099436796,0.24464646464646464,0.25
graph_59.npz,-0.028410550961379608,0.29477617292684477,0.3006060606060606,0.3
graph_60.npz,0.018632667910522642,0.3634394104821179,0.3606060606060606,0.35000000000000003
