,time-to-peak,time-to-peak,time-to-peak,time-to-peak,peak,peak,peak,peak,size,size,size,size
,mean,std,min,max,mean,std,min,max,mean,std,min,max
graph_0.npz,14.333333333333334,10.208928554075705,0.0,23.0,0.2533333333333333,0.1732692189115603,0.01,0.4,0.5933333333333334,0.4124991582482993,0.01,0.89
graph_1.npz,11.0,0.816496580927726,10.0,12.0,0.61,0.0244948974278318,0.58,0.64,0.9966666666666668,0.0047140452079103,0.99,1.0
graph_2.npz,7.333333333333333,0.4714045207910317,7.0,8.0,0.6833333333333332,0.0286744175568087,0.65,0.72,0.9966666666666668,0.0047140452079103,0.99,1.0
graph_3.npz,7.0,1.632993161855452,5.0,9.0,0.6299999999999999,0.0637704215656966,0.58,0.72,1.0,0.0,1.0,1.0
graph_4.npz,7.333333333333333,0.9428090415820634,6.0,8.0,0.6566666666666667,0.0329983164553722,0.62,0.7,1.0,0.0,1.0,1.0
graph_5.npz,6.666666666666667,0.4714045207910317,6.0,7.0,0.6699999999999999,0.032659863237109,0.63,0.71,1.0,0.0,1.0,1.0
graph_6.npz,5.666666666666667,0.4714045207910317,5.0,6.0,0.64,0.0081649658092772,0.63,0.65,1.0,0.0,1.0,1.0
graph_7.npz,6.333333333333333,0.4714045207910317,6.0,7.0,0.6966666666666667,0.0418993502999217,0.64,0.74,1.0,0.0,1.0,1.0
graph_8.npz,5.333333333333333,0.4714045207910317,5.0,6.0,0.5933333333333333,0.0047140452079103,0.59,0.6,1.0,0.0,1.0,1.0
graph_9.npz,5.666666666666667,1.699673171197595,4.0,8.0,0.6366666666666667,0.0339934634239519,0.59,0.67,1.0,0.0,1.0,1.0
graph_10.npz,5.333333333333333,0.4714045207910317,5.0,6.0,0.5766666666666667,0.0286744175568087,0.54,0.61,1.0,0.0,1.0,1.0
graph_11.npz,5.666666666666667,1.699673171197595,4.0,8.0,0.5366666666666667,0.0309120616516523,0.51,0.58,1.0,0.0,1.0,1.0
graph_12.npz,4.666666666666667,1.699673171197595,3.0,7.0,0.5166666666666666,0.0385861230093007,0.48,0.57,1.0,0.0,1.0,1.0
graph_13.npz,5.333333333333333,0.4714045207910317,5.0,6.0,0.53,0.0216024689946928,0.5,0.55,1.0,0.0,1.0,1.0
graph_14.npz,4.666666666666667,1.247219128924647,3.0,6.0,0.4633333333333333,0.0249443825784929,0.43,0.49,1.0,0.0,1.0,1.0
graph_15.npz,4.333333333333333,1.699673171197595,2.0,6.0,0.47,0.0141421356237309,0.46,0.49,1.0,0.0,1.0,1.0
graph_16.npz,2.6666666666666665,0.4714045207910317,2.0,3.0,0.4866666666666666,0.0377123616632825,0.46,0.54,1.0,0.0,1.0,1.0
graph_17.npz,3.6666666666666665,1.699673171197595,2.0,6.0,0.4633333333333333,0.0339934634239519,0.43,0.51,1.0,0.0,1.0,1.0
graph_18.npz,20.666666666666668,3.771236166328253,18.0,26.0,0.3333333333333333,0.0664997911442,0.24,0.39,0.8666666666666667,0.0262466929133727,0.83,0.89
graph_19.npz,14.0,4.242640687119285,11.0,20.0,0.6166666666666667,0.0601849002842259,0.56,0.7,0.9966666666666668,0.0047140452079103,0.99,1.0
graph_20.npz,11.333333333333334,1.247219128924647,10.0,13.0,0.67,0.0294392028877594,0.63,0.7,1.0,0.0,1.0,1.0
graph_21.npz,6.0,0.0,6.0,6.0,0.6966666666666667,0.0124721912892464,0.68,0.71,1.0,0.0,1.0,1.0
graph_22.npz,6.0,0.816496580927726,5.0,7.0,0.6666666666666666,0.0555777733351102,0.59,0.72,1.0,0.0,1.0,1.0
graph_23.npz,5.333333333333333,0.4714045207910317,5.0,6.0,0.63,0.0216024689946928,0.6,0.65,1.0,0.0,1.0,1.0
graph_24.npz,7.333333333333333,1.247219128924647,6.0,9.0,0.66,0.0374165738677394,0.61,0.7,1.0,0.0,1.0,1.0
graph_25.npz,6.0,0.0,6.0,6.0,0.66,0.0,0.66,0.66,1.0,0.0,1.0,1.0
graph_26.npz,4.333333333333333,0.4714045207910317,4.0,5.0,0.5933333333333333,0.0286744175568087,0.56,0.63,1.0,0.0,1.0,1.0
graph_27.npz,5.666666666666667,1.247219128924647,4.0,7.0,0.6066666666666666,0.0124721912892464,0.59,0.62,1.0,0.0,1.0,1.0
graph_28.npz,6.666666666666667,1.247219128924647,5.0,8.0,0.5766666666666667,0.0471404520791031,0.51,0.61,1.0,0.0,1.0,1.0
graph_29.npz,5.333333333333333,1.247219128924647,4.0,7.0,0.5266666666666667,0.0249443825784929,0.5,0.56,1.0,0.0,1.0,1.0
graph_30.npz,5.666666666666667,1.247219128924647,4.0,7.0,0.52,0.0294392028877595,0.49,0.56,1.0,0.0,1.0,1.0
graph_31.npz,5.0,1.4142135623730951,3.0,6.0,0.5,0.0141421356237309,0.48,0.51,1.0,0.0,1.0,1.0
graph_32.npz,3.6666666666666665,2.3570226039551585,2.0,7.0,0.5,0.0216024689946928,0.48,0.53,1.0,0.0,1.0,1.0
graph_33.npz,4.333333333333333,1.699673171197595,2.0,6.0,0.5,0.0244948974278318,0.47,0.53,1.0,0.0,1.0,1.0
graph_34.npz,7.666666666666667,1.247219128924647,6.0,9.0,0.4566666666666666,0.0124721912892464,0.44,0.47,1.0,0.0,1.0,1.0
graph_35.npz,4.0,0.816496580927726,3.0,5.0,0.4499999999999999,0.032659863237109,0.41,0.49,1.0,0.0,1.0,1.0
graph_36.npz,3.6666666666666665,5.185449728701348,0.0,11.0,0.1733333333333333,0.2309882151876055,0.01,0.5,0.32,0.4384062043356594,0.01,0.94
graph_37.npz,13.0,2.8284271247461903,11.0,17.0,0.57,0.0294392028877594,0.54,0.61,1.0,0.0,1.0,1.0
graph_38.npz,10.333333333333334,0.4714045207910317,10.0,11.0,0.6633333333333332,0.0524933858267454,0.59,0.71,1.0,0.0,1.0,1.0
graph_39.npz,6.333333333333333,0.4714045207910317,6.0,7.0,0.6833333333333332,0.0524933858267454,0.61,0.73,1.0,0.0,1.0,1.0
graph_40.npz,7.0,0.816496580927726,6.0,8.0,0.6733333333333333,0.0124721912892464,0.66,0.69,1.0,0.0,1.0,1.0
graph_41.npz,7.0,0.816496580927726,6.0,8.0,0.6833333333333332,0.0124721912892464,0.67,0.7,1.0,0.0,1.0,1.0
graph_42.npz,6.0,0.816496580927726,5.0,7.0,0.65,0.0653197264742181,0.57,0.73,1.0,0.0,1.0,1.0
graph_43.npz,5.666666666666667,0.4714045207910317,5.0,6.0,0.6233333333333334,0.0449691252107735,0.57,0.68,1.0,0.0,1.0,1.0
graph_44.npz,5.666666666666667,0.4714045207910317,5.0,6.0,0.57,0.0244948974278317,0.54,0.6,1.0,0.0,1.0,1.0
graph_45.npz,5.333333333333333,2.0548046676563256,3.0,8.0,0.58,0.0216024689946928,0.56,0.61,1.0,0.0,1.0,1.0
graph_46.npz,7.0,0.816496580927726,6.0,8.0,0.5433333333333333,0.0402768199119818,0.51,0.6,1.0,0.0,1.0,1.0
graph_47.npz,5.0,1.4142135623730951,4.0,7.0,0.56,0.0216024689946928,0.54,0.59,1.0,0.0,1.0,1.0
graph_48.npz,6.666666666666667,1.247219128924647,5.0,8.0,0.5066666666666667,0.0124721912892464,0.49,0.52,1.0,0.0,1.0,1.0
graph_49.npz,4.333333333333333,1.247219128924647,3.0,6.0,0.5033333333333333,0.0262466929133727,0.48,0.54,1.0,0.0,1.0,1.0
graph_50.npz,5.666666666666667,1.699673171197595,4.0,8.0,0.4833333333333333,0.0329983164553722,0.44,0.52,1.0,0.0,1.0,1.0
graph_51.npz,4.666666666666667,1.699673171197595,3.0,7.0,0.4733333333333333,0.0402768199119819,0.44,0.53,1.0,0.0,1.0,1.0
graph_52.npz,5.0,0.816496580927726,4.0,6.0,0.4366666666666667,0.0124721912892464,0.42,0.45,1.0,0.0,1.0,1.0
graph_53.npz,2.333333333333333,0.4714045207910317,2.0,3.0,0.4266666666666667,0.0094280904158206,0.42,0.44,1.0,0.0,1.0,1.0
graph_54.npz,8.333333333333334,9.741092797468305,0.0,22.0,0.1633333333333333,0.2098147330914162,0.01,0.46,0.3133333333333333,0.4219267972317262,0.01,0.91
graph_55.npz,10.333333333333334,0.4714045207910317,10.0,11.0,0.5766666666666667,0.0188561808316412,0.55,0.59,0.9933333333333332,0.0094280904158206,0.98,1.0
graph_56.npz,10.0,0.816496580927726,9.0,11.0,0.64,0.0216024689946928,0.61,0.66,1.0,0.0,1.0,1.0
graph_57.npz,7.666666666666667,0.4714045207910317,7.0,8.0,0.6933333333333334,0.0377123616632825,0.64,0.72,0.9966666666666668,0.0047140452079103,0.99,1.0
graph_58.npz,5.666666666666667,0.4714045207910317,5.0,6.0,0.6900000000000001,0.0081649658092772,0.68,0.7,1.0,0.0,1.0,1.0
