graph,assortativity,clustering,density,target
graph_0.npz,-0.030097136242387242,0.011666666666666667,0.019595959595959597,0.0199526231496888
graph_1.npz,0.036519036519035826,0.05447619047619048,0.028282828282828285,0.028183829312644536
graph_2.npz,0.059283263438811136,0.07671428571428572,0.03797979797979798,0.03981071705534971
graph_3.npz,-0.0750014643003565,0.051297979797979794,0.057373737373737375,0.05623413251903488
graph_4.npz,-0.03713414687371793,0.059499555999556,0.07898989898989899,0.0794328234724281
graph_5.npz,0.003035286028489244,0.10463012314482903,0.10545454545454545,0.11220184543019623
graph_6.npz,-0.051314433174534047,0.15445780837818796,0.15797979797979797,0.15848931924611118
graph_7.npz,-0.01333170751534121,0.22947197339246947,0.23535353535353534,0.22387211385683367
graph_8.npz,-0.044510324778795914,0.3055816547012611,0.301010101010101,0.31622776601683744
graph_9.npz,-0.00665134499144718,0.4472109947342196,0.44222222222222224,0.4466835921509623
graph_10.npz,-0.02576983403686738,0.6301346364622744,0.6290909090909091,0.630957344480192
graph_11.npz,-0.01858698788345385,0.8872854258976521,0.8876767676767677,0.8912509381337436
graph_12.npz,0.028354336545588783,0.021666666666666664,0.019797979797979797,0.0199526231496888
graph_13.npz,-0.04554455445544551,0.005666666666666666,0.02666666666666667,0.028183829312644536
graph_14.npz,-0.10866854384553706,0.036476190476190475,0.040202020202020204,0.03981071705534971
graph_15.npz,0.013141989610165229,0.061619047619047615,0.05272727272727273,0.05623413251903488
graph_16.npz,-0.020256654848854375,0.09944008769008768,0.08525252525252525,0.0794328234724281
graph_17.npz,0.0027125570738458357,0.10866709924062866,0.10787878787878788,0.11220184543019623
graph_18.npz,0.0023083416686114104,0.1442705650715477,0.1478787878787879,0.15848931924611118
graph_19.npz,0.02003849618058626,0.21376084443140075,0.21777777777777776,0.22387211385683367
graph_20.npz,-0.004281152902126082,0.3146639525100971,0.31777777777777777,0.31622776601683744
graph_21.npz,0.00046396597509848735,0.43382424624658156,0.4353535353535353,0.4466835921509623
graph_22.npz,-0.016217956952844215,0.6339740536747271,0.6343434343434343,0.630957344480192
graph_23.npz,-0.012622311106477905,0.8893115072472735,0.889090909090909,0.8912509381337436
graph_24.npz,0.1408450704225345,0.02033333333333333,0.02202020202020202,0.0199526231496888
graph_25.npz,0.06225374310480624,0.03380952380952381,0.03090909090909091,0.028183829312644536
graph_26.npz,-0.08994064536086534,0.05496031746031746,0.04141414141414142,0.03981071705534971
graph_27.npz,-0.07433290179862015,0.06716522366522366,0.052525252525252523,0.05623413251903488
graph_28.npz,-0.04833527089287602,0.05815306915306915,0.07595959595959596,0.0794328234724281
graph_29.npz,0.0266229007220204,0.10413788739640133,0.11333333333333333,0.11220184543019623
graph_30.npz,-0.029045501938329776,0.15546286014205654,0.15555555555555556,0.15848931924611118
graph_31.npz,0.011395225673778483,0.22157683693501457,0.2204040404040404,0.22387211385683367
graph_32.npz,-0.01575626819890877,0.32665369681638934,0.3274747474747475,0.31622776601683744
graph_33.npz,-0.013043608488452438,0.4575786846901941,0.4573737373737374,0.4466835921509623
graph_34.npz,-0.034157980508682184,0.627036115009203,0.6268686868686869,0.630957344480192
graph_35.npz,-0.018573365001705772,0.89659460075733,0.8963636363636364,0.8912509381337436
graph_36.npz,-0.1794140934283448,0.005,0.019797979797979797,0.0199526231496888
graph_37.npz,-0.1200179633995731,0.03133333333333333,0.026060606060606062,0.028183829312644536
graph_38.npz,0.12868755313941116,0.048928571428571425,0.040606060606060604,0.03981071705534971
graph_39.npz,-0.012837761505201748,0.050090187590187595,0.057373737373737375,0.05623413251903488
graph_40.npz,-0.030636103360451795,0.07035747585747586,0.07656565656565656,0.0794328234724281
graph_41.npz,0.03098238238583579,0.12667735085691742,0.12242424242424242,0.11220184543019623
graph_42.npz,-0.03181182665743992,0.14424120293116793,0.15212121212121213,0.15848931924611118
graph_43.npz,-0.0020131758862972906,0.2215200685026226,0.21858585858585858,0.22387211385683367
graph_44.npz,-0.029179318725782128,0.3030277405603135,0.30404040404040406,0.31622776601683744
graph_45.npz,0.008190496162590315,0.4366803890240794,0.4353535353535353,0.4466835921509623
graph_46.npz,-0.03605311142334893,0.626296748257911,0.6256565656565657,0.630957344480192
graph_47.npz,-0.023249516776524842,0.8866355688461196,0.8864646464646465,0.8912509381337436
graph_48.npz,0.0703718512594961,0.006666666666666666,0.018787878787878787,0.0199526231496888
graph_49.npz,-0.1820276497695853,0.02,0.02666666666666667,0.028183829312644536
graph_50.npz,-0.09423237124516264,0.026142857142857145,0.04101010101010101,0.03981071705534971
graph_51.npz,0.0019702853130546994,0.05823015873015873,0.057777777777777775,0.05623413251903488
graph_52.npz,-0.08037405796980444,0.08147746697746698,0.07818181818181819,0.0794328234724281
graph_53.npz,0.005553086823766564,0.11565759446951397,0.11777777777777777,0.11220184543019623
graph_54.npz,-0.052014763261515766,0.15275678713607774,0.15232323232323233,0.15848931924611118
graph_55.npz,0.02061964203906559,0.21794674593564864,0.22,0.22387211385683367
graph_56.npz,-0.030177505455500478,0.3245263988786947,0.3204040404040404,0.31622776601683744
graph_57.npz,-0.02164725572561254,0.45305346898821214,0.4535353535353535,0.4466835921509623
graph_58.npz,-0.019632576891804362,0.6288486437397854,0.6292929292929293,0.630957344480192
graph_59.npz,-0.028560235674160696,0.8892528062893327,0.889090909090909,0.8912509381337436
