,time-to-peak,time-to-peak,time-to-peak,time-to-peak,peak,peak,peak,peak,size,size,size,size
,mean,std,min,max,mean,std,min,max,mean,std,min,max
graph_0.npz,2.0,2.8284271247461903,0.0,6.0,0.0133333333333333,0.0047140452079103,0.01,0.02,0.0166666666666666,0.0047140452079103,0.01,0.02
graph_1.npz,24.33333333333333,15.15109090315135,5.0,42.0,0.1133333333333333,0.0654896090146283,0.03,0.19,0.3833333333333333,0.2468917891618827,0.05,0.64
graph_2.npz,13.666666666666666,9.877021593352705,0.0,23.0,0.2166666666666666,0.1481740718059524,0.01,0.35,0.5466666666666667,0.3821285414912398,0.01,0.87
graph_3.npz,19.666666666666668,0.4714045207910317,19.0,20.0,0.38,0.0898146239020498,0.27,0.49,0.9233333333333332,0.0047140452079103,0.92,0.93
graph_4.npz,12.666666666666666,1.8856180831641267,10.0,14.0,0.5366666666666666,0.0590668171555645,0.49,0.62,0.98,0.0,0.98,0.98
graph_5.npz,9.0,0.0,9.0,9.0,0.5599999999999999,0.0616441400296897,0.49,0.64,0.9966666666666668,0.0047140452079103,0.99,1.0
graph_6.npz,7.666666666666667,0.9428090415820634,7.0,9.0,0.68,0.0081649658092772,0.67,0.69,1.0,0.0,1.0,1.0
graph_7.npz,8.0,0.816496580927726,7.0,9.0,0.6533333333333333,0.0169967317119759,0.63,0.67,1.0,0.0,1.0,1.0
graph_8.npz,6.333333333333333,0.4714045207910317,6.0,7.0,0.6533333333333333,0.0329983164553722,0.61,0.69,1.0,0.0,1.0,1.0
graph_9.npz,4.0,0.0,4.0,4.0,0.6166666666666667,0.0329983164553722,0.58,0.66,1.0,0.0,1.0,1.0
graph_10.npz,6.666666666666667,1.247219128924647,5.0,8.0,0.5700000000000001,0.0374165738677394,0.53,0.62,1.0,0.0,1.0,1.0
graph_11.npz,3.6666666666666665,0.4714045207910317,3.0,4.0,0.4333333333333333,0.0169967317119759,0.41,0.45,1.0,0.0,1.0,1.0
graph_12.npz,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.01
graph_13.npz,7.666666666666667,8.806563209081938,0.0,20.0,0.0333333333333333,0.0262466929133727,0.01,0.07,0.0499999999999999,0.0496655480858378,0.01,0.12
graph_14.npz,27.0,4.08248290463863,22.0,32.0,0.3233333333333333,0.0612825877028341,0.25,0.4,0.8300000000000001,0.0509901951359278,0.76,0.88
graph_15.npz,15.0,11.51810169544733,0.0,28.0,0.2466666666666666,0.1685889148853572,0.01,0.39,0.6233333333333333,0.4343833432452134,0.01,0.96
graph_16.npz,10.666666666666666,0.4714045207910317,10.0,11.0,0.57,0.0489897948556635,0.51,0.63,0.99,0.0081649658092772,0.98,1.0
graph_17.npz,9.0,1.4142135623730951,7.0,10.0,0.65,0.0294392028877595,0.61,0.68,1.0,0.0,1.0,1.0
graph_18.npz,7.666666666666667,0.4714045207910317,7.0,8.0,0.62,0.0616441400296897,0.54,0.69,1.0,0.0,1.0,1.0
graph_19.npz,6.333333333333333,0.4714045207910317,6.0,7.0,0.67,0.0294392028877594,0.64,0.71,1.0,0.0,1.0,1.0
graph_20.npz,5.666666666666667,0.4714045207910317,5.0,6.0,0.6633333333333332,0.0402768199119818,0.63,0.72,1.0,0.0,1.0,1.0
graph_21.npz,5.666666666666667,1.699673171197595,4.0,8.0,0.6133333333333333,0.0418993502999218,0.57,0.67,1.0,0.0,1.0,1.0
graph_22.npz,4.666666666666667,1.699673171197595,3.0,7.0,0.52,0.0294392028877595,0.49,0.56,1.0,0.0,1.0,1.0
graph_23.npz,3.6666666666666665,0.4714045207910317,3.0,4.0,0.4566666666666667,0.0047140452079103,0.45,0.46,1.0,0.0,1.0,1.0
graph_24.npz,11.666666666666666,9.809292646374772,0.0,24.0,0.05,0.0282842712474619,0.01,0.07,0.1066666666666666,0.0684754619472471,0.01,0.16
graph_25.npz,3.6666666666666665,2.867441755680876,0.0,7.0,0.03,0.0141421356237309,0.01,0.04,0.0633333333333333,0.0498887651569858,0.01,0.13
graph_26.npz,35.333333333333336,8.993825042154693,28.0,48.0,0.2866666666666667,0.0555777733351102,0.21,0.34,0.86,0.0081649658092772,0.85,0.87
graph_27.npz,20.33333333333333,4.027681991198191,17.0,26.0,0.4033333333333333,0.0865383665716478,0.29,0.5,0.9066666666666668,0.0262466929133727,0.87,0.93
graph_28.npz,14.333333333333334,3.0912061651652345,10.0,17.0,0.57,0.0898146239020498,0.46,0.68,0.98,0.0163299316185545,0.96,1.0
graph_29.npz,10.666666666666666,0.9428090415820634,10.0,12.0,0.6333333333333333,0.0339934634239519,0.6,0.68,0.9966666666666668,0.0047140452079103,0.99,1.0
graph_30.npz,7.666666666666667,0.4714045207910317,7.0,8.0,0.6733333333333333,0.0262466929133726,0.65,0.71,0.9966666666666668,0.0047140452079103,0.99,1.0
graph_31.npz,7.666666666666667,0.9428090415820634,7.0,9.0,0.66,0.0141421356237309,0.65,0.68,1.0,0.0,1.0,1.0
graph_32.npz,6.666666666666667,1.247219128924647,5.0,8.0,0.6833333333333332,0.0478423336480244,0.64,0.75,1.0,0.0,1.0,1.0
graph_33.npz,5.333333333333333,0.9428090415820634,4.0,6.0,0.5966666666666667,0.0329983164553722,0.56,0.64,1.0,0.0,1.0,1.0
graph_34.npz,4.666666666666667,1.247219128924647,3.0,6.0,0.5533333333333333,0.0492160768674446,0.49,0.61,1.0,0.0,1.0,1.0
graph_35.npz,5.333333333333333,1.247219128924647,4.0,7.0,0.4366666666666667,0.0124721912892464,0.42,0.45,1.0,0.0,1.0,1.0
graph_36.npz,6.0,4.546060565661952,1.0,12.0,0.03,0.0141421356237309,0.02,0.05,0.0466666666666666,0.0377123616632825,0.02,0.1
graph_37.npz,46.0,32.61901286060018,0.0,72.0,0.0866666666666666,0.0579271573232758,0.01,0.15,0.2933333333333333,0.2013840995599095,0.01,0.46
graph_38.npz,14.333333333333334,11.841546445554409,0.0,29.0,0.2066666666666666,0.1633673433979046,0.01,0.41,0.54,0.3797367509209505,0.01,0.88
graph_39.npz,12.333333333333334,9.177266598624136,0.0,22.0,0.3266666666666666,0.2283759084394752,0.01,0.54,0.6366666666666666,0.4431954672852851,0.01,0.96
graph_40.npz,13.333333333333334,4.642796092394707,7.0,18.0,0.5,0.0216024689946928,0.47,0.52,0.9666666666666668,0.0047140452079103,0.96,0.97
graph_41.npz,11.666666666666666,2.494438257849294,9.0,15.0,0.66,0.0282842712474619,0.62,0.68,0.9966666666666668,0.0047140452079103,0.99,1.0
graph_42.npz,7.0,0.816496580927726,6.0,8.0,0.68,0.0216024689946928,0.66,0.71,1.0,0.0,1.0,1.0
graph_43.npz,6.333333333333333,0.4714045207910317,6.0,7.0,0.6766666666666667,0.0169967317119759,0.66,0.7,1.0,0.0,1.0,1.0
graph_44.npz,6.333333333333333,1.247219128924647,5.0,8.0,0.6633333333333334,0.0262466929133726,0.64,0.7,1.0,0.0,1.0,1.0
graph_45.npz,5.0,0.816496580927726,4.0,6.0,0.62,0.0282842712474619,0.6,0.66,1.0,0.0,1.0,1.0
graph_46.npz,4.666666666666667,0.9428090415820634,4.0,6.0,0.5166666666666667,0.0124721912892464,0.5,0.53,1.0,0.0,1.0,1.0
graph_47.npz,4.0,2.160246899469287,2.0,7.0,0.47,0.0294392028877594,0.44,0.51,1.0,0.0,1.0,1.0
graph_48.npz,0.6666666666666666,0.9428090415820634,0.0,2.0,0.0166666666666666,0.0094280904158206,0.01,0.03,0.02,0.0141421356237309,0.01,0.04
graph_49.npz,26.0,15.121728296285006,8.0,45.0,0.0966666666666666,0.0623609564462323,0.03,0.18,0.2633333333333333,0.2206555888458048,0.06,0.57
graph_50.npz,10.0,13.4412301024373,0.0,29.0,0.1266666666666666,0.1579732748143038,0.01,0.35,0.2766666666666666,0.3700750674600432,0.01,0.8
graph_51.npz,9.333333333333334,6.649979114420002,0.0,15.0,0.33,0.2264214359698892,0.01,0.5,0.6566666666666666,0.4573352769637999,0.01,0.99
graph_52.npz,17.0,2.160246899469287,15.0,20.0,0.5333333333333333,0.0339934634239518,0.5,0.58,0.97,0.0244948974278318,0.94,1.0
graph_53.npz,5.666666666666667,4.027681991198191,0.0,9.0,0.3966666666666666,0.2734146220587983,0.01,0.59,0.6666666666666666,0.4643513995049678,0.01,1.0
graph_54.npz,8.0,0.0,8.0,8.0,0.7133333333333334,0.0286744175568087,0.68,0.75,1.0,0.0,1.0,1.0
graph_55.npz,7.666666666666667,0.9428090415820634,7.0,9.0,0.6533333333333333,0.0262466929133726,0.63,0.69,1.0,0.0,1.0,1.0
graph_56.npz,6.666666666666667,1.247219128924647,5.0,8.0,0.6433333333333334,0.0249443825784929,0.61,0.67,1.0,0.0,1.0,1.0
graph_57.npz,6.333333333333333,0.9428090415820634,5.0,7.0,0.62,0.0,0.62,0.62,1.0,0.0,1.0,1.0
graph_58.npz,5.333333333333333,0.4714045207910317,5.0,6.0,0.52,0.0163299316185545,0.5,0.54,1.0,0.0,1.0,1.0
graph_59.npz,5.666666666666667,1.699673171197595,4.0,8.0,0.4366666666666667,0.0262466929133727,0.4,0.46,1.0,0.0,1.0,1.0
